"Outcome (or Indicator)","Group","Percentage","Confidence Interval","Title","Description","Year"
"Current asthma","Single parent, never married","11.4","8.6, 14.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Single parent, ever married","7.7","5.9,  9.9","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Married parents","5.3","4.6,  6.1","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Cohabiting parents","5","2.9,  7.9","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","At least one related or unrelated adult (not a parent)","8.5","5.3, 12.8","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","No working parents","9","6.6, 12.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Single parent, working","8.4","6.9, 10.2","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Two parents, one working","4.6","3.5,  5.9","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Two parents, both working","5.3","4.5,  6.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Less than high school diploma","4.8","2.9,  7.3","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","High school diploma or GED","6.2","4.8,  8.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Some college","8.4","6.9, 10.1","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","College degree or higher","5.2","4.4,  6.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Less than 100% FPL","7.1","5.3,  9.3","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","100% to less than 200% FPL","7.2","5.6,  9.1","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
